variant,eval_year,dimension,segment,rows,positives,negatives,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
baseline_46_native,2019,overall,all,574,140,434,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
baseline_46_native,2019,market,KOSDAQ,311,106,205,0.6783216783216783,0.9150943396226415,0.7791164658634538,159,46,9,97
baseline_46_native,2019,market,KOSPI,263,34,229,0.675,0.7941176470588235,0.7297297297297297,216,13,7,27
baseline_46_native,2019,industry,manufacturing,378,103,275,0.674074074074074,0.883495145631068,0.7647058823529411,231,44,12,91
baseline_46_native,2019,industry,it_services,96,13,83,0.7058823529411765,0.9230769230769231,0.8,78,5,1,12
baseline_46_native,2020,overall,all,603,151,452,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
baseline_46_native,2020,market,KOSDAQ,341,119,222,0.7480916030534351,0.8235294117647058,0.784,189,33,21,98
baseline_46_native,2020,market,KOSPI,262,32,230,0.7096774193548387,0.6875,0.6984126984126984,221,9,10,22
baseline_46_native,2020,industry,manufacturing,403,115,288,0.7540983606557377,0.8,0.7763713080168776,258,30,23,92
baseline_46_native,2020,industry,it_services,103,15,88,0.6666666666666666,0.8,0.7272727272727273,82,6,3,12
baseline_46_native,2021,overall,all,673,165,508,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
baseline_46_native,2021,market,KOSDAQ,392,126,266,0.6294117647058823,0.8492063492063492,0.722972972972973,203,63,19,107
baseline_46_native,2021,market,KOSPI,281,39,242,0.7222222222222222,0.6666666666666666,0.6933333333333334,232,10,13,26
baseline_46_native,2021,industry,manufacturing,449,131,318,0.6524390243902439,0.816793893129771,0.7254237288135593,261,57,24,107
baseline_46_native,2021,industry,it_services,125,18,107,0.5833333333333334,0.7777777777777778,0.6666666666666666,97,10,4,14
baseline_46_native,2022,overall,all,676,176,500,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
baseline_46_native,2022,market,KOSDAQ,403,143,260,0.7065217391304348,0.9090909090909091,0.7951070336391437,206,54,13,130
baseline_46_native,2022,market,KOSPI,273,33,240,0.6842105263157895,0.7878787878787878,0.7323943661971831,228,12,7,26
baseline_46_native,2022,industry,manufacturing,450,136,314,0.7218934911242604,0.8970588235294118,0.8,267,47,14,122
baseline_46_native,2022,industry,it_services,129,23,106,0.6333333333333333,0.8260869565217391,0.7169811320754716,95,11,4,19
baseline_46_native,final_test,overall,all,924,203,721,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
baseline_46_native,final_test,market,KOSDAQ,427,163,264,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
baseline_46_native,final_test,market,KOSPI,497,40,457,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
baseline_46_native,final_test,industry,manufacturing,598,162,436,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
