n,tp,fp,tn,fn,precision,recall,f1,accuracy,run,target,failed_rows,valid_rows
10,2,4,2,2,0.3333333333333333,0.5,0.4,0.4,agno_round2_10,1차 모델,0,10
10,4,5,1,0,0.4444444444444444,1.0,0.6153846153846153,0.5,agno_round2_10,2차 검토대상(보류+부적격),0,10
10,3,1,5,1,0.75,0.75,0.75,0.8,agno_round2_10,2차 위험신호(risk_signal),0,10
10,1,0,6,3,1.0,0.25,0.4,0.7,agno_round2_10,2차 부적격만,0,10
10,3,3,2,2,0.5,0.6,0.5454545454545454,0.5,agno_round3_10,1차 모델,0,10
10,5,4,1,0,0.5555555555555556,1.0,0.7142857142857143,0.6,agno_round3_10,2차 검토대상(보류+부적격),0,10
10,3,1,4,2,0.75,0.6,0.6666666666666665,0.7,agno_round3_10,2차 위험신호(risk_signal),0,10
10,1,0,5,4,1.0,0.2,0.33333333333333337,0.6,agno_round3_10,2차 부적격만,0,10
10,1,1,8,0,0.5,1.0,0.6666666666666666,0.9,agno_random_rolling_10,1차 모델,0,10
10,1,2,7,0,0.3333333333333333,1.0,0.5,0.8,agno_random_rolling_10,2차 검토대상(보류+부적격),0,10
10,1,0,9,0,1.0,1.0,1.0,1.0,agno_random_rolling_10,2차 위험신호(risk_signal),0,10
10,1,0,9,0,1.0,1.0,1.0,1.0,agno_random_rolling_10,2차 부적격만,0,10
